% пу,явка,Вышестоящая комиссия,№ УИК,"Число избирателей, внесенных в списки избирателей",10.00,12.00,15.00,18.00,"1. Число избирателей, включенных в список избирателей","2. Число избирательных бюллетеней, полученных участковой избирательной комиссией","3. Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","4. Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","5. Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",6. Число погашенных избирательных бюллетеней,7. Число избирательных бюллетеней в переносных ящиках для голосования,8. Число бюллетеней в стационарных ящиках для голосования,9. Число недействительных избирательных бюллетеней,10. Число действительных избирательных бюллетеней,11. Число утраченных избирательных бюллетеней,"12. Число избирательных бюллетеней, не учтенных при получении",13. Бабурин Сергей Николаевич,14. Грудинин Павел Николаевич,15. Жириновский Владимир Вольфович,16. Путин Владимир Владимирович,17. Собчак Ксения Анатольевна,18. Сурайкин Максим Александрович,19. Титов Борис Юрьевич,20. Явлинский Григорий Алексеевич
0.78494623655914,0.722995090016367,1 Бокситогорская,2,2412,0.0787,0.3243,0.5803,0.6732,2444,2100,0,1617,150,333,150,1617,26,1741,0,0,10,188,101,1387,15,14,12,14
0.925696594427245,0.92022792022792,1 Бокситогорская,20,374,0.0856,0.2166,0.3949,0.6695,351,370,0,191,132,47,132,191,3,320,0,0,0,8,8,299,2,1,0,2
0.820971867007673,0.58974358974359,5 Всеволожская,200,658,0.0365,0.2325,0.4191,0.5098,663,500,0,375,16,109,16,375,6,385,0,0,0,29,15,321,10,2,4,4
0.652316523165232,0.584611697027804,5 Всеволожская,201,4097,0.0207,0.0227,0.262,0.4289,4172,2850,0,2435,4,411,4,2435,39,2400,0,0,12,346,101,1591,204,6,60,80
0.655491329479769,0.571947194719472,5 Всеволожская,202,2790,0.0384,0.0962,0.2376,0.4167,3030,2100,0,1730,3,367,3,1727,22,1708,0,0,12,220,60,1134,153,11,44,74
0.725222146274778,0.506930006930007,5 Всеволожская,203,2767,0.0029,0.0752,0.307,0.4175,2886,2600,0,1446,17,1137,17,1446,26,1437,0,0,12,180,58,1061,64,9,18,35
0.756274768824306,0.603909054646988,5 Всеволожская,204,2498,0.0412,0.0969,0.4826,0.4826,2507,2000,0,1490,24,486,24,1490,15,1499,0,0,7,153,72,1145,57,6,27,32
0.809293904646952,0.713301764959105,5 Всеволожская,205,2335,0.0501,0.2077,0.5565,0.5565,2323,2000,0,1623,34,343,34,1623,13,1644,0,0,16,126,70,1341,33,14,20,24
0.754940711462451,0.58294930875576,5 Всеволожская,206,835,0.0263,0.1389,0.4595,0.4595,868,800,0,504,2,294,2,504,8,498,0,0,7,46,28,382,12,3,7,13
0.78159645232816,0.581935483870968,5 Всеволожская,207,1714,0.0292,0.1085,0.4632,0.4632,1550,1500,0,892,10,598,10,892,7,895,0,0,10,69,49,705,22,10,14,16
0.779661016949153,0.499395405078597,5 Всеволожская,208,2366,0.0385,0.1179,0.431,0.4217,2481,2000,0,1204,35,761,35,1204,9,1230,0,0,11,121,51,966,35,9,19,18
0.782171581769437,0.551343393448657,5 Всеволожская,209,2705,0.0702,0.2218,0.4458,0.4458,2717,2500,0,1484,14,1002,14,1478,13,1479,0,0,11,150,51,1167,43,12,19,26
0.876456876456876,0.842829076620825,1 Бокситогорская,21,533,0.1257,0.2871,0.6495,0.7392,509,550,0,281,148,121,148,281,0,429,0,0,3,26,23,376,0,1,0,0
0.79144385026738,0.611396543671182,5 Всеволожская,210,2141,0.0304,0.1541,0.5259,0.5259,2141,2000,0,1290,19,691,19,1290,12,1297,0,0,10,110,49,1036,38,10,21,23
