tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
21 Приозерская,783,65%,1034,79%,,c1,yes,"20, 46"
21 Приозерская,783,65%,1034,79%,,c2,yes,"18, 45"
24 Сланцевская,800,65%,827,76%,,c1,yes,"22, 40"
24 Сланцевская,800,65%,827,76%,,c2,yes,"18, 42"
26 Тихвинская,827,65%,1281,78%,,c1,,"20, 36"
26 Тихвинская,827,65%,1281,78%,,c2,yes,"19, 42"
26 Тихвинская,833,65%,868,79%,,c1,yes,"4, 35"
26 Тихвинская,833,65%,868,79%,,c2,,"7, 36"
27 Тосненская,906,65%,1114,82%,КОИБ,c1,yes,"20, 41"
27 Тосненская,906,65%,1114,82%,КОИБ,c2,yes,"6, 44"
5 Всеволожская,122,65%,1205,79%,,c1,yes,
5 Всеволожская,122,65%,1205,79%,,c2,yes,
5 Всеволожская,168,65%,982,78%,,c1,yes,"5, 36"
5 Всеволожская,168,65%,982,78%,,c2,yes,"21, 37"
5 Всеволожская,182,65%,868,83%,КОИБ,c1,yes,
5 Всеволожская,182,65%,868,83%,КОИБ,c2,yes,35
5 Всеволожская,226,65%,1270,75%,,c1,yes,"18, 35"
5 Всеволожская,226,65%,1270,75%,,c2,,"20, 36"
6 Выборгская,244,65%,1195,74%,,c1,,"22, 35"
6 Выборгская,244,65%,1195,74%,,c2,yes,"16, 37"
6 Выборгская,254,65%,1046,76%,,c1,yes,"22, 37"
6 Выборгская,254,65%,1046,76%,,c2,,"21, 40"
6 Выборгская,268,65%,1200,73%,,c1,yes,"21, 41"
6 Выборгская,268,65%,1200,73%,,c2,yes,"16, 45"
7 Гатчинская,396,64%,1442,78%,,c1,yes,"21, 36"
7 Гатчинская,396,64%,1442,78%,,c2,,"19, 35"
7 Гатчинская,440,64%,533,77%,,c1,yes,"22, 37"
7 Гатчинская,440,64%,533,77%,,c2,yes,"22, 45"
11 Кингисеппская,473,64%,1037,77%,,c1,yes,"6, 39"
11 Кингисеппская,473,64%,1037,77%,,c2,yes,"16, 36"
11 Кингисеппская,474,64%,948,79%,,c1,yes,"8, 37"
11 Кингисеппская,474,64%,948,79%,,c2,yes,"20, 46"
12 Киришская,528,64%,1255,75%,КОИБ,c1,yes,"20, 48"
12 Киришская,528,64%,1255,75%,КОИБ,c2,yes,"19, 42"
13 Кировская,568,64%,1545,78%,,c1,yes,"21, 42"
13 Кировская,568,64%,1545,78%,,c2,yes,"20, 43"
